doc_id,context,question,ground_truth,municipality
1,"Maximum Height: Principal Building 12.0 m | 4 storeys, Accessory Buildings 4.0 m | 1 storey",What is the maximum building height for accessory buildings?,4.0 m | 1 storey,Burnaby
2,"8.6.2 REGULATIONS: Subject to sections 8.6.3 and 8.6.4, no person shall within any TC Zone use any land or erect or use any building or structure except in accordance with the provisions of section 4 and the following regulations: Minimum lot frontage is 6 metres (19.7 ft.). Minimum front yard depth is in accordance with sections 4.27.1, where applicable. Minimum rear yard depth: (i) where any part of the building is used for residential purposes is 10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1 (ii) where no part of the building is used for residential purposes is 3 metres (9.8 ft.) plus any applicable distance specified in section 4.27.1, provided that no rear yard is required where the rear lot line abuts a public land or a public parking lot. Minimum interior side yard width: (i) where the side lot line abuts a residential, institutional or open space zone is 3 metres (39.8 sq. ft.) (ii) where the side lot line does not abut a residential, institutional or open space zone is none required. Minimum exterior side yard width is in accordance with section 4.27.1, where applicable 1. Maximum lot coverage is 70%. Maximum height of building or structure is 12 metres (40.0 ft.) subject to section 4.7. Maximum floor area is not specified. Parking and access requirements is in accordance with section 4.19.1. Loading area requirements is in accordance with section 4.20. Maximum floor area for each retail store (2000-135) is 400 square metres. Maximum floor area of all retail stores per property (2000-135) is 3,530 square metres.",What is the minimum lot frontage requirements?,6 metres (19.7 ft.),Niagara Falls
3,A child care facility in the R1 District must:(a) be limited to a maximum of 25 children; (b) be located on a corner lot; (c) comply with the development regulations under section 101.4 for 1 to 3 small-scale multi-unit dwelling units on a lot; (d) be located on a lot that does not contain a dwelling unit or any other principal use; and (e) comply with all other applicable regulations under this Bylaw.,Where does a child care facility in the R1 district be located?,on a corner lot,Burnaby
4,"some or all of the following regulations may apply to lots in the R1 District on the Community Heritage Register:(a) panhandle lots and other irregularly shaped lots may be permitted subject to the following: (i) lots with lane access shall have a minimum panhandle width of 1 m that is clear to a height of 2.5 m; and (ii) lots without lane access shall have a minimum panhandle width of 4.5 m that is clear to a height of 2.5 m; (b) maximum lot coverage as set out in Section 101.4 may be increased to up to 60%; (c) all original architectural appurtenances, such as chimneys, railings, vents, decorative features, or similar, may be excluded from the maximum permitted height of a principal building; (d) lot line setbacks for street yards may meet a minimum of 2.0 m; (e) the minimum separation between buildings on the same lot as required under Section 101.4 may be reduced;","For lots in the R1 district on the Community Heritage Register, what is the minimum lot line setback for street yards?",2.0 m,Burnaby
5,"8.6.2 REGULATIONS: Subject to sections 8.6.3 and 8.6.4, no person shall within any TC Zone use any land or erect or use any building or structure except in accordance with the provisions of section 4 and the following regulations: Minimum lot frontage is 6 metres (19.7 ft.). Minimum front yard depth is in accordance with sections 4.27.1, where applicable. Minimum rear yard depth: (i) where any part of the building is used for residential purposes is 10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1 (ii) where no part of the building is used for residential purposes is 3 metres (9.8 ft.) plus any applicable distance specified in section 4.27.1, provided that no rear yard is required where the rear lot line abuts a public land or a public parking lot. Minimum interior side yard width: (i) where the side lot line abuts a residential, institutional or open space zone is 3 metres (39.8 sq. ft.) (ii) where the side lot line does not abut a residential, institutional or open space zone is none required. Minimum exterior side yard width is in accordance with section 4.27.1, where applicable 1. Maximum lot coverage is 70%. Maximum height of building or structure is 12 metres (40.0 ft.) subject to section 4.7. Maximum floor area is not specified. Parking and access requirements is in accordance with section 4.19.1. Loading area requirements is in accordance with section 4.20. Maximum floor area for each retail store (2000-135) is 400 square metres. Maximum floor area of all retail stores per property (2000-135) is 3,530 square metres.",What is the minimum rear yard depth where any part of the building is used for residential purposes?,10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1,Niagara Falls
6,"8.6.2 REGULATIONS: Subject to sections 8.6.3 and 8.6.4, no person shall within any TC Zone use any land or erect or use any building or structure except in accordance with the provisions of section 4 and the following regulations: Minimum lot frontage is 6 metres (19.7 ft.). Minimum front yard depth is in accordance with sections 4.27.1, where applicable. Minimum rear yard depth: (i) where any part of the building is used for residential purposes is 10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1 (ii) where no part of the building is used for residential purposes is 3 metres (9.8 ft.) plus any applicable distance specified in section 4.27.1, provided that no rear yard is required where the rear lot line abuts a public land or a public parking lot. Minimum interior side yard width: (i) where the side lot line abuts a residential, institutional or open space zone is 3 metres (39.8 sq. ft.) (ii) where the side lot line does not abut a residential, institutional or open space zone is none required. Minimum exterior side yard width is in accordance with section 4.27.1, where applicable 1. Maximum lot coverage is 70%. Maximum height of building or structure is 12 metres (40.0 ft.) subject to section 4.7. Maximum floor area is not specified. Parking and access requirements is in accordance with section 4.19.1. Loading area requirements is in accordance with section 4.20. Maximum floor area for each retail store (2000-135) is 400 square metres. Maximum floor area of all retail stores per property (2000-135) is 3,530 square metres.",What is the maximum lot coverage?,"70%",Niagara Falls
7,"8.6.2 REGULATIONS: Subject to sections 8.6.3 and 8.6.4, no person shall within any TC Zone use any land or erect or use any building or structure except in accordance with the provisions of section 4 and the following regulations: Minimum lot frontage is 6 metres (19.7 ft.). Minimum front yard depth is in accordance with sections 4.27.1, where applicable. Minimum rear yard depth: (i) where any part of the building is used for residential purposes is 10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1 (ii) where no part of the building is used for residential purposes is 3 metres (9.8 ft.) plus any applicable distance specified in section 4.27.1, provided that no rear yard is required where the rear lot line abuts a public land or a public parking lot. Minimum interior side yard width: (i) where the side lot line abuts a residential, institutional or open space zone is 3 metres (39.8 sq. ft.) (ii) where the side lot line does not abut a residential, institutional or open space zone is none required. Minimum exterior side yard width is in accordance with section 4.27.1, where applicable 1. Maximum lot coverage is 70%. Maximum height of building or structure is 12 metres (40.0 ft.) subject to section 4.7. Maximum floor area is not specified. Parking and access requirements is in accordance with section 4.19.1. Loading area requirements is in accordance with section 4.20. Maximum floor area for each retail store (2000-135) is 400 square metres. Maximum floor area of all retail stores per property (2000-135) is 3,530 square metres.",What is the maximum height of building or structure?,12 metres (40.0 ft.) subject to section 4.7,Niagara Falls
8,"8.6.2 REGULATIONS: Subject to sections 8.6.3 and 8.6.4, no person shall within any TC Zone use any land or erect or use any building or structure except in accordance with the provisions of section 4 and the following regulations: Minimum lot frontage is 6 metres (19.7 ft.). Minimum front yard depth is in accordance with sections 4.27.1, where applicable. Minimum rear yard depth: (i) where any part of the building is used for residential purposes is 10 metres (33.0 ft.) plus any applicable distance specified in section 4.27.1 (ii) where no part of the building is used for residential purposes is 3 metres (9.8 ft.) plus any applicable distance specified in section 4.27.1, provided that no rear yard is required where the rear lot line abuts a public land or a public parking lot. Minimum interior side yard width: (i) where the side lot line abuts a residential, institutional or open space zone is 3 metres (39.8 sq. ft.) (ii) where the side lot line does not abut a residential, institutional or open space zone is none required. Minimum exterior side yard width is in accordance with section 4.27.1, where applicable 1. Maximum lot coverage is 70%. Maximum height of building or structure is 12 metres (40.0 ft.) subject to section 4.7. Maximum floor area is not specified. Parking and access requirements is in accordance with section 4.19.1. Loading area requirements is in accordance with section 4.20. Maximum floor area for each retail store (2000-135) is 400 square metres. Maximum floor area of all retail stores per property (2000-135) is 3,530 square metres.",What is the maximum floor area?,not specified,Niagara Falls
9,"101.6 General Regulations 101.6.1 Projections (1) The following features may project into the required minimum separation between buildings on the same lot: (a) steps and stairs; (b) ornamental features, such as arbors, trellises, fish ponds, flag poles, or similar landscape features; (c) terraces, decks, or other similar surfaces that are 1.0 m or less above grade; (d) balconies, covered decks, uncovered decks, canopies, sunshades, or other similar features, including supporting structures, that are greater than 1.0 m above grade up to a maximum of 25 percent of the width of a required separation; (e) belt courses, cornices, gutters, sills, chimneys, bay windows, or other similar features up to the lesser of 0.9 m or 25 percent of the width of a required separation; (f) sunken access areas and window wells as per Section 6.9; (g) outdoor appliances; and (h) eaves up to the lesser of 1.2 m (3.94 ft.) or 25 percent of the width of a required separation. (2) Permitted projections into required yards are subject to Section 6.12, except that in the R1 District projections into required rear or side yards are limited to a maximum of 0.5 m where the rear or side yard abuts a lane to provide adequate fire truck clearance. 101.6.2 Outdoor Areas (1) An outdoor amenity space with a minimum width of 2.0 m and area of 10.0 m2 must be provided for each primary dwelling unit for its exclusive use and be directly accessible from the primary dwelling unit it serves. 101.6.3 Access and Fire Safety (1) Dwelling units located more than 45 m from a lot line abutting a street shall contain an automatic sprinkler system. (2) All dwelling units shall have a minimum 1.0 m paved or gravel fire access corridor that: (a) provides direct pedestrian access from the dwelling unit entrance to a lot line abutting a street, or abutting a constructed lane where direct access to a street is not feasible; and (b) is clear of any projections or obstructions to a minimum of 2.5 m in height.",What is the minimum width and area for outdoor amenity space for each primary dwelling unit?,An outdoor amenity space with a minimum width of 2.0 m and area of 10.0 m2,Burnaby
10,"The height of a building shall not exceed 2 1/2 storeys and a height of (a) 9.0 m (29.5 ft.) if it has a sloping roof, or (b) 7.4 m (24.3 ft.) if it has a flat roof.",What is the maximum building height for a sloping roof?,9.0 m (29.5 ft.),Burnaby
