doc_id,context,question,ground_truth,municipality
1,The maximum building depth of a Contextual Semi-detached Dwelling is the greater of: A 60.0 per cent of the parcel depth; or B the contextual building depth average.,What is the maximum building depth?,60.0 per cent of the parcel depth; or B the contextual building depth average.,Calgary
2,The maximum building depth of a Contextual Semi-detached Dwelling is the greater of: A 60.0 per cent of the parcel depth; or B the contextual building depth average. Where a Contextual Single Detached Dwelling is located on a parcel with a parcel width greater than 10 metres the maximum building depth is the contextual building depth average.,What is the maximum building depth for a Contextual Single Detached Dwelling located on a parcel width greather than 10 metres?,contextual building depth average.,Calgary
3,"Unless otherwise referenced in subsections (2) and (3) the maximum building depth is 65.0 per cent of the parcel depth for a building containing a unit. On a laned parcel, there is no maximum building depth for a main residential building wholly contained to the rear of 40.0 per cent parcel depth where: there is more than one main residential building on the parcel; ",What is the maximum building depth for a building containing one unit?,65.0 per cent of the parcel depth,Calgary
4,The maximum building height is 11.0 metres.,What is the maximum building height?,11.0 metres,Calgary
5,The maximum building height is 5.0 metres.,What is the maximum building height?,5.0 metres,Calgary
6,"Unless otherwise referenced in subsection (2), the maximum building height is 12.0 metres. The maximum height of a Backyard Suite on a laned parcel is 10.0 metres. ",What is the maximum building height of a Backyard Suite on a laned parcel?,10.0 metres,Calgary
7,"The maximum building height on a parcel that shares a property line with a parcel that has a building with a height that does not exceed 6.0 metres above grade at that shared property line, and where the other parcel is designated with a low density residential district, M-CG or H-GO District: A. is 6.0 metres measured from grade at the shared property line; and B. increases proportionately to a maximum of 12.0 metres measured from grade at a distance of 6.0 metres from the shared property line. ",What is the maximum building height?,is 6.0 metres measured from grade at the shared property line; and B. increases proportionately to a maximum of 12.0 metres measured from grade at a distance of 6.0 metres from the shared property line.,Calgary
8,"Unless otherwise referenced in subsections (2), the maximum building height is 12.0 metres measured from grade. Where a building setback is required from a property line shared with another parcel designated with a low density residential district, H-GO or the M-CG District, the maximum building height: A. is the greater of: i. the highest geodetic elevation of a main residential building on the adjoining parcel; or ii. 8.0 metres from grade; measured at the shared property line; and B. increases at a 45 degree angle to a maximum of 12.0 metres measured from grade. ","If there are no other requirements, what is the maximum building height measured from grade?","Unless otherwise referenced in subsections (2), the maximum building height is 12.0 metres measured from grade",Calgary
9,The maximum gross floor area of any individual storey of a Dwelling Unit in a cottage building is 100.0 square metres.,What is the maximum gross floor area for an individual storey of Dwelling Unit in a cottage building?,100.0 square metres,Calgary
10,The maximum gross floor area of a Dwelling Unit in a cottage building is 150.0 square metres.,What is the maximum gross floor area?,150.0 square metres,Calgary
11,The maximum density for a parcel designated Residential — Low Density Multiple Dwelling District is: A 50 units per hectare for Rowhouse Buildings; B 50 units per hectare for Townhouses; C 38 units per hectare for Townhouses in all other cases. ,What is the maximum density per hectare for Townhouses?,50 units per hectare,Calgary
12,The maximum density for a Manufactured Home located on a individual parcel is one unit per parcel.,What is the maximum density per parcel?,one unit,Calgary
13,"The maximum density for parcels designated M-C1 District is 148 units per hectare. The maximum density for parcels designated M-C1 District followed by the letter ""d"" and a number indicated on the Land Use District Maps: A is the number expressed in units per hectare; and B the number after the letter ""d"" must not exceed the maximum density referenced in subsection (1).",What is the maximum density for parcels designated M-C1 District?,148 units per hectare,Calgary
14,"Unless otherwise referenced in subsection (2), the maximum parcel coverage is: A 45.0 per cent of the area of the parcel for each Single Detached Dwelling; B 50.0 per cent of the area of the parcel for each Semi-detached Dwelling and Duplex Dwelling; and C 60.0 per cent of the area of the parcel for each Rowhouse Building or Townhouse. The maximum parcel coverage referenced in subsection (1), must be reduced by 21.0 square metres for each required motor vehicle parking stall that is not located in a private garage.",What is the maximum parcel coverage for a Single Detached Dwelling?,45.0 per cent of the area of the parcel,Calgary
15,"The maximum parcel coverage is 45.0 per cent of the area of the parcel, which must be reduced by 21.0 square metres for each required motor vehicle parking stall that is not located in a private garage.",How much area must be reduced for each required motor vehicle parking stall?,21.0 square metres,Calgary
16,"Unless otherwise referenced in subsections (2) and (3), the maximum parcel coverage is 60.0 per cent of the area of the parcel. Unless otherwise referenced in subsection (3), the maximum parcel coverage for a laned parcel is 70.0 per cent of the area of the parcel. ",What is the maximum parcel coverage for any parcel that is not a laned parcel?,60.0 per cent of the area of parcel,Calgary
17,"The maximum floor area ratio is 5.0. The maximum floor area ratio for all buildings on parcels designated M-H2 District is the number following the letter ""f"" when indicated on the Land Use District Maps, which must be less than 5.0. ",What is the maximum floor area ratio?,5.0,Calgary
18,"The maximum floor area ratio is 3.0. The maximum floor area ratio for all buildings on parcels designated M-X2 District is the number following the letter ""f"" when indicated on the Land Use District Maps, which must be less than 3.0.",What is the maximum floor area ratio for parcels designated M-X2?,"the number following the letter ""f"" when indicated on the Land Use District Maps, which must be less than 3.0",Calgary
19,The maximum floor area ratio is 1.5.,What is the maximum floor area ratio?,1.5,Calgary
20,"The maximum floor area ratio:a is 3.0; and b may be increased in accordance with the incentive provisions contained in Part 13, Division 3.",What is the maximum floor area ratio?,3.0,Calgary
21,The maximum floor space ratio is 0.60. ,What is the maximum floor space ratio?,0.60,Vancouver
22,"The maximum floor space ratio is 0.60, except that:  (a) for a building existing prior to December 1, 1973 and approved for dwelling use only, the floor area may be increased by 20% of the existing floor area, provided that in no case may the maximum floor space ratio exceed 1.00 and the increase in floor area is for dwelling use only; and  (b) the Director of Planning or Development Permit Board may increase the permitted floor space ratio to a maximum of 1.50, if the Director of Planning or Development Permit Board considers the intent of this schedule, all applicable Council policies and guidelines, the nature and size of the site, adequacy of open space, overall design and the provision of amenities which would result in community benefits. ",What can the Director of Planning or Development Permit Board increase the floor space ratio to?,1.50,Vancouver
23,Minimum site area for multiple dwelling: 688sqm ,What is the minimum site area?,699sqm,Vancouver
24,Minimum site area for: (a) duplex 780 m2 (b) single detached house or single detached house with secondary suite 445 m2,What is the minimum site area for a duplex?,780 m2,Vancouver
25,"Minimum site area for: (a) corner site 1,348 m2 (b) all other sites 1,532 m2 ",What is the minimum site area for all other sites?,"1,532 m2",Vancouver
26,"The maximum building height is 9.2 m  and 3 storeys. Despite the maximum building height in section 3.1.2.2 above, the third storey must be a partial storey not exceeding 50% of the storey immediately below.  ",What is the maximum building height?,9.2 m and 3 storeys,Vancouver
27,The maximum building heights for these districts are: R5-1: 84.0 m. R5-2: 69.0 m. R5-3: 84.0 m. R5-4: 84.0 m ,What is the maximum building height for the R5-3 district?,84.0 m,Vancouver
28,R1-1 Maximum building height for: (a) rear buildings 8.5 m and 2 storeys (b) all other buildings 11.5 m and 3 storeys. R3 Maximum building height for: (a) apartment 23.0 m (b) mixed‑use residential building 23.0 m (c) townhouse 10.7 m.,What is the maximum building height for rear buildings and all other buildings in the R1-1 district?,(a) rear buildings 8.5 m and 2 storeys (b) all other buildings 11.5 m and 3 storeys,Vancouver
29,"The minimum front yard depths for: RA-1, RT-1, RT-2: 7.3m. RT-3, R3, R4, R5: 3.7m. RM-1: 3.1 m, Duplex, single detached house and single detached house with secondary suite, Multiple conversion dwelling, infill and existing building: the average of the minimum front yard depths of the 2 adjacent sites. R1-1: 4.9 m.",What is the minimum front yard depth for R1-1?,4.9 m,Vancouver
30,"Maximum building depth for all buildings used for dwelling uses, community care facility or group residence: the lesser of 36.6 m or 65% of the site depth ",What is the maximum site coverage?,the lesser of 36.6 m or 65% of the site depth,Vancouver
31,Maximum site coverage for all buildings 45% of the site area ,What is the maximum site coverage?,45% of the site area,Vancouver
32,"(1) Front Yard Setback - Averaging. In the Residential Zone category, if a lot is: (A) beside one lot in the Residential Zone category, and that abutting lot has a building fronting on the same street and that building is, in whole or in part, 15.0 metres or less from the subject lot, the required minimum front yard setback is the front yard setback of that building on the abutting lot; and (B) between two abutting lots in the Residential Zone category, each with a building fronting on the same street and those buildings are both, in whole or in part, 15.0 metres or less from the subject lot, the required minimum front yard setback is the average of the front yard setbacks of those buildings on the abutting lots. (2) Building or Structure to be Set Back from a Lane. A building or structure in the Residential Zone category may be no closer than 2.5 metres from the original centreline of a lane.","What is the front yard setback for a lot that is between two abutting lots, each with a building fronting on the same street and those buildings are both 15.0 metres or less from the subject lot?",the average of the front yard setbacks of those buildings on the abutting lots,Toronto
33,"(1) Minimum Separation Between Residential Buildings and Ancillary Buildings or Structures of a Certain Size. In the Residential Zone category, an ancillary building or structure with a height greater than 2.5 metres, or a gross floor area greater than 10 square metres, must be at least 1.8 metres from a residential building on the same lot.",What is the minimum separation between buildings for an ancillary building or structure with a height greater than 2.5 metres?,must be at least 1.8 metres from a resiential building on the same lot,Toronto
34,"(1) Determining the Height of a Building. In the Residential Zone category, the height of a building is the distance between the established grade and the elevation of the highest point of the building. (2) Height of Specific Structures on a Building. In the Residential Zone category, the following structures on the roof of a building may exceed the permitted maximum height for that building by 1.5 metres: (A) antennae; (B) flagpoles; (C) parapets for a green roof; (D) satellite dishes; and (E) weather vanes.",How do you determine the height of a building in the Residential Zone Category?,the height of the building is the distance between the established grade and the elevation of the highest point of the building,Toronto
35,FRONT YARD setback (minimum): 13.5 metres,What is the minimum front yard setback?,13.5 metres,Waterloo
36,"LOT COVERAGE, all BUILDINGS (maximum): 45%. PARKING SPACES (minimum): One (1) DWELLING UNIT: One (1) PARKING SPACETwo (2) DWELLING UNITS: Two (2) PARKING SPACESThree (3) DWELLING UNITS: Two (2) PARKING SPACESFour (4) DWELLING UNITS: Three (3) PARKING SPACES",What is the minimum amount of parking spaces required for three dwelling units?,Two (2) PARKING SPACES,Waterloo
