doc_id,zone,height_answer,coverage_answer,height_ground_truth,coverage_ground_truth,comments,municipality
1,# 2.20 RSF - Small Scale Flex Residential Zone,12,55,12,55,None,Edmonton
2,# 2.30 RSM - Small-Medium Scale Transition Residential Zone,14,60,14,60,There are actually two values for height: 12 and 14m. Current pipeline prompt doesn't allow LLM to respond with more than one value.,Edmonton
3,# 2.40 RM - Medium Scale Residential Zone,28,50,28,Invalid,"There are actually three values for height: 16, 23, 28m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
4,# 2.50 RL - Large Scale Residential Zone,65,5.5,65,Invalid,"There are actually two values for height: 60, 65m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
5,# 2.60 RR - Rural Residential Zone,12,30,12,Invalid,None,Edmonton
6,# 2.70 MUN - Neighbourhood Mixed Use Zone,16,3.5,16,Invalid,None,Edmonton
7,# 2.80 MU - Mixed Use Zone,Invalid,65,Invalid,Invalid,None,Edmonton
8,# 2.90 CN - Neighbourhood Commercial Zone,12,2,12,Invalid,None,Edmonton
9,# 2.100 CG - General Commercial Zone,30,35,16,Invalid,None,Edmonton
10,# 2.110 CB - Business Commercial Zone,30,35,16,Invalid,None,Edmonton
11,# 2.120 BE - Business Employment Zone,16,1.6,16,Invalid,None,Edmonton
12,# 2.130 IM - Medium Industrial Zone,18,60,18,Invalid,None,Edmonton
13,# 2.140 IH - Heavy Industrial Zone,30,85,30,Invalid,None,Edmonton
14,# 2.150 A - River Valley Zone,10,Invalid,10,Invalid,None,Edmonton
15,# 2.160 NA - Natural Areas Zone,10,Invalid,Invalid,Invalid,None,Edmonton
16,# 2.170 PSN - Neighbourhood Parks and Services Zone,14,80,14,Invalid,None,Edmonton
17,# 2.180 PS - Parks and Services Zone,16,Invalid,16,Invalid,None,Edmonton
18,# 2.190 PU - Public Utility Zone,18,100,12,Invalid,None,Edmonton
19,# 2.200 UF - Urban Facilities Zone,16,650,16,Invalid,None,Edmonton
20,# 2.210 UI - Urban Institution Zone,55.0 m,Invalid,55,Invalid,None,Edmonton
21,# 2.220 AJ - Alternative Jurisdiction Zone,Invalid,Invalid,Invalid,Invalid,None,Edmonton
22,# 2.230 AG - Agriculture Zone,12,60,12,Invalid,None,Edmonton
23,# 2.240 FD - Future Urban Development Zone,Invalid,Invalid,Invalid,Invalid,None,Edmonton
24,#### Mixed Use Zones,12,3,Invalid,Invalid,None,Edmonton
25,# 3.21 HDR - High Density Residential Zone,50,45,50,Invalid,None,Edmonton
26,# 3.22 CMU - Commercial Mixed Use Zone,70,7,70,Invalid,"There are actually two values for height: 70, 50m. Current pipeline prompt doesn't allow LLM to respond with more than one value.",Edmonton
27,# 3.23 RMU - Residential Mixed Use Zone,50,5,50,Invalid,None,Edmonton
