doc_id,context,question,ground_truth,municipality
1,"Maximum Height: Principal Building 12.0 m | 4 storeys, Accessory Buildings 4.0 m | 1 storey",What is the maximum building height for accessory buildings?,4.0 m | 1 storey,Burnaby
2,"Rowhouse Maximum Lot Area: 1-3 units: 280m2. Small-Scale Multi-Unit Maximum Lot Area: 1-3 units: -, 4 units: -, 5-6 units: -",What is the maximum lot area for 1-3 small-scale multi-units?,-,Burnaby
3,A child care facility in the R1 District must:(a) be limited to a maximum of 25 children; (b) be located on a corner lot; (c) comply with the development regulations under section 101.4 for 1 to 3 small-scale multi-unit dwelling units on a lot; (d) be located on a lot that does not contain a dwelling unit or any other principal use; and (e) comply with all other applicable regulations under this Bylaw.,Where does a child care facility in the R1 district be located?,on a corner lot,Burnaby
4,"some or all of the following regulations may apply to lots in the R1 District on the Community Heritage Register:(a) panhandle lots and other irregularly shaped lots may be permitted subject to the following: (i) lots with lane access shall have a minimum panhandle width of 1 m that is clear to a height of 2.5 m; and (ii) lots without lane access shall have a minimum panhandle width of 4.5 m that is clear to a height of 2.5 m; (b) maximum lot coverage as set out in Section 101.4 may be increased to up to 60%; (c) all original architectural appurtenances, such as chimneys, railings, vents, decorative features, or similar, may be excluded from the maximum permitted height of a principal building; (d) lot line setbacks for street yards may meet a minimum of 2.0 m; (e) the minimum separation between buildings on the same lot as required under Section 101.4 may be reduced;","For lots in the R1 district on the Community Heritage Register, what is the minimum lot line setback for street yards?",2.0 m,Burnaby
5,"Dwelling Type Rowhouse[ .1] Small-Scale Multi-Unit Minimum Lot Width[ .2] 5 m, except 6.2 m for end unit Interior Lot 10 m lots Corner Lot - Street 8 m 10 m Corner Lot - Lane 6.2 m 10 m Lot Area[ .3] Minimum Lot Area - 281 m[2] Maximum Lot Area 280 m[2] .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time. |Permitted Uses|Col2| |---|---| |Principal Use|Use-Specific Regulations| |Small-Scale Multi-Unit Housing|-| |Rowhouse Dwellings|101.5.2| |Boarding, Lodging, or Rooming House|101.5.3| |Group Home|-| |Supportive Housing (Category A)|101.5.4| |Child Care Facilities|101.5.6| |Accessory Use|Use-Specific Regulations| |Boarding Use (up to 2 boarders)|-| |Home Occupations|6.8, 6.8A| |Urban Agriculture|6.30| |Accessory Buildings, Structures, and Uses|101.5.5, 6.6","According to the table, what is the minimum lot width for a rowhouse on a street corner lot?",8 m,Burnaby
6,The minimum number of dwelling units with at least 3 bedrooms must be provided on a lot as follows: |Col1|Total Dwelling Units on a Lot|Col3| |---|---|---| ||1 to 3 Units|4 to 6 Units| |Minimum 3+ Bedroom Units:|1 Unit|2 Units|,"For a lot with 1 to 3 total dwelling units, what is the minimum number of 3+ bedroom units required?",1 Unit,Burnaby
7,The minimum number of dwelling units with at least 3 bedrooms must be provided on a lot as follows: Col1 | Total Dwelling Units on a Lot | Col3 — --- | --- | --- — (blank) | 1 to 3 Units | 4 to 6 Units — Minimum 3+ Bedroom Units: | 1 Unit | 2 Units,"For a lot with 1 to 3 total dwelling units, what is the minimum number of 3+ bedroom units required?",1 Unit,Burnaby
8,"The Dwelling Type Rowhouse[ .1] Small-Scale Multi-Unit — Minimum Lot Width[ .2]: 5 m, except 6.2 m for end unit; Interior Lot 10 m; Corner Lot - Street 8 m 10 m; Corner Lot - Lane 6.2 m 10 m — Lot Area[ .3]: Minimum Lot Area - 281 m[2]; Maximum Lot Area 280 m[2] — .1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse dwellings will be constructed at the same time — Permitted Uses Table: |Permitted Uses|Col2| — |---|---| — |Principal Use|Use-Specific Regulations| — |Small-Scale Multi-Unit Housing|-| — |Rowhouse Dwellings|101.5.2| — |Boarding, Lodging, or Rooming House|101.5.3| — |Group Home|-| — |Supportive Housing (Category A)|101.5.4| — |Child Care Facilities|101.5.6| — |Accessory Use|Use-Specific Regulations| — |Boarding Use (up to 2 boarders)|-| — |Home Occupations|6.8, 6.8A| — |Urban Agriculture|6.30| — |Accessory Buildings, Structures, and Uses|101.5.5, 6.6|","According to the table, what is the minimum lot width for a rowhouse on a street corner lot?",8 m,Burnaby
9,"101.6 General Regulations 101.6.1 Projections (1) The following features may project into the required minimum separation between buildings on the same lot: (a) steps and stairs; (b) ornamental features, such as arbors, trellises, fish ponds, flag poles, or similar landscape features; (c) terraces, decks, or other similar surfaces that are 1.0 m or less above grade; (d) balconies, covered decks, uncovered decks, canopies, sunshades, or other similar features, including supporting structures, that are greater than 1.0 m above grade up to a maximum of 25 percent of the width of a required separation; (e) belt courses, cornices, gutters, sills, chimneys, bay windows, or other similar features up to the lesser of 0.9 m or 25 percent of the width of a required separation; (f) sunken access areas and window wells as per Section 6.9; (g) outdoor appliances; and (h) eaves up to the lesser of 1.2 m (3.94 ft.) or 25 percent of the width of a required separation. (2) Permitted projections into required yards are subject to Section 6.12, except that in the R1 District projections into required rear or side yards are limited to a maximum of 0.5 m where the rear or side yard abuts a lane to provide adequate fire truck clearance. 101.6.2 Outdoor Areas (1) An outdoor amenity space with a minimum width of 2.0 m and area of 10.0 m2 must be provided for each primary dwelling unit for its exclusive use and be directly accessible from the primary dwelling unit it serves. 101.6.3 Access and Fire Safety (1) Dwelling units located more than 45 m from a lot line abutting a street shall contain an automatic sprinkler system. (2) All dwelling units shall have a minimum 1.0 m paved or gravel fire access corridor that: (a) provides direct pedestrian access from the dwelling unit entrance to a lot line abutting a street, or abutting a constructed lane where direct access to a street is not feasible; and (b) is clear of any projections or obstructions to a minimum of 2.5 m in height.",What is the minimum width and area for outdoor amenity space for each primary dwelling unit?,An outdoor amenity space with a minimum width of 2.0 m and area of 10.0 m2,Burnaby
10,"The height of a building shall not exceed 2 1/2 storeys and a height of (a) 9.0 m (29.5 ft.) if it has a sloping roof, or (b) 7.4 m (24.3 ft.) if it has a flat roof.",What is the maximum building height for a sloping roof?,9.0 m (29.5 ft.),Burnaby
